小区名称,销售情况,区划,区域,周边地铁,建筑材质,建造年份,房价,在售房数,成交数量,正在出租,Cluster
东总布胡同19号院,"['30天成交1套', '1套正在出租']",东城,建国门内,近地铁1号线八通线建国门站,12,1992年,109305.0,,30,1,1
东四十条,"['30天成交0套', '0套正在出租']",东城,东四,近地铁2号线东四十条站,8,1970-2015年,110403.0,,30,0,1
大雅宝胡同,"['30天成交0套', '2套正在出租']",东城,朝阳门内,近地铁2号线朝阳门站,9,1955-2020年,,,30,2,0
东营房八条,"['30天成交0套', '0套正在出租']",东城,朝阳门外,,14,1980-1995年,105456.0,,30,0,1
东堂子胡同49号院,"['30天成交0套', '5套正在出租']",东城,建国门内,近地铁5号线灯市口站,11,1988年,119766.0,,30,5,1
东旺胡同,"['30天成交0套', '3套正在出租']",东城,交道口,近地铁5号线北新桥站,9,1963-2022年,,,30,3,0
道湾胡同,"['共1个户型', '30天成交0套', '0套正在出租']",东城,东四,近地铁5号线张自忠路站,9,2007年,171575.0,,1,0,3
东晓市街,"['30天成交0套', '0套正在出租']",东城,天坛,近地铁5号线磁器口站,14,1945-2021年,91602.0,,30,0,4
东四八条,"['30天成交0套', '1套正在出租']",东城,东四,近地铁2号线东四十条站,9,1949-2019年,138748.0,,30,1,3
东四十四条,"['30天成交0套', '1套正在出租']",东城,东四,近地铁5号线北新桥站,9,1988年,160307.0,,30,1,3
东营房九条,"['30天成交0套', '1套正在出租']",东城,朝阳门外,近地铁2号线东四十条站,14,1978-1998年,99264.0,,30,1,1
丹耀大厦,"['30天成交0套', '2套正在出租']",东城,东单,近地铁8号线金鱼胡同站,2,2002-2006年,77593.0,,30,2,4
缎库胡同,"['30天成交0套', '1套正在出租']",东城,东单,近地铁1号线八通线天安门东站,14,未知,,,30,1,0
豆角胡同,"['30天成交0套', '2套正在出租']",东城,地安门,近地铁6号线南锣鼓巷站,14,1958-2021年,132073.0,,30,2,3
东交民巷30号院,"['30天成交0套', '0套正在出租']",东城,前门,近地铁5号线崇文门站,0,1990年,115561.0,,30,0,1
鼎盛园,"['30天成交1套', '4套正在出租']",东城,永定门,近地铁14号线景泰站,3,2005-2009年,84147.0,,30,4,4
